word_0,hits_0,word_1,hits_1,word_2,hits_2,word_3,hits_3,word_4,hits_4
salet,BBBBB,courd,BBBBB,nymph,BBBBY,whiff,GGGGG,     ,     
salet,BBBBB,courd,BBBBB,nymph,BGYYB,pygmy,GGGGG,     ,     
salet,BBBBB,courd,BBBBB,nymph,BYBBB,fizzy,GGGGG,     ,     
salet,BBBBB,courd,BBBBB,nymph,BYBBB,fizzy,YGBBG,jiffy,GGGGG
salet,BBBBB,courd,BBBBB,nymph,BYBGY,hippy,GGGGG,     ,     
salet,BBBBB,courd,BBBBB,nymph,BYBYB,piggy,GGGGG,     ,     
salet,BBBBB,courd,BBBBB,nymph,BYGGB,wimpy,GGGGG,     ,     
salet,BBBBB,courd,BBBBB,nymph,GGGGG,     ,     ,     ,     
salet,BBBBB,courd,BBBBB,nymph,GYBBB,ninny,GGGGG,     ,     
salet,BBBBB,courd,BBBBB,nymph,YBYBB,minim,GGGGG,     ,     
salet,BBBBB,courd,BBBBB,nymph,YGBBB,vying,GGGGG,     ,     
salet,BBBBB,courd,BBBBB,nymph,YYBBB,kinky,GGGGG,     ,     
salet,BBBBB,courd,BBBBB,nymph,YYBBY,whiny,GGGGG,     ,     
salet,BBBBB,courd,BBBBB,nymph,YYBYB,pinky,GGGGG,     ,     
salet,BBBBB,courd,BBBBG,vivid,GGGGG,     ,     ,     ,     
salet,BBBBB,courd,BBBBY,dingy,GGBBG,dizzy,GGGGG,     ,     
salet,BBBBB,courd,BBBBY,dingy,GGGGG,     ,     ,     ,     
salet,BBBBB,courd,BBBBY,dingy,GYYYY,dying,GGGGG,     ,     
salet,BBBBB,courd,BBBBY,dingy,YGBBG,biddy,GGGGG,     ,     
salet,BBBBB,courd,BBBBY,dingy,YGBYG,giddy,GGGGG,     ,     
salet,BBBBB,courd,BBBBY,dingy,YGGBG,windy,GGGGG,     ,     
salet,BBBBB,courd,BBBGB,myrrh,GGGGG,     ,     ,     ,     
salet,BBBBB,courd,BBBYB,wring,BGGBB,privy,GGGGG,     ,     
salet,BBBBB,courd,BBBYB,wring,BGGBY,grimy,GGGGG,     ,     
salet,BBBBB,courd,BBBYB,wring,BGGGB,brink,GGGGB,briny,GGGGG
